Date,ret_1d,ret_5d,ret_10d,ret_20d,ret_60d,ret_120d,mom_accel,vol_20d,vol_60d,parkinson_vol,vol_ratio,volume_ratio,volume_change,volume_mom,price_volume_div,rsi,ma5_bias,ma20_bias,ma_alignment,macd,macd_signal,macd_hist,bb_position,atr,amihud,hl_spread,roll_spread,52w_position,from_52w_high,overnight_ret,intraday_ret,gap,PE_Ratio,Forward_PE,PB_Ratio,PS_Ratio,ROE,ROA,Debt_to_Equity,Dividend_Yield,Earnings_Growth,Revenue_Growth,Profit_Margin,Operating_Margin,Market_Cap,Beta,52Week_High,52Week_Low
2010-03-30,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-03-31,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-04-01,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-04-05,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-04-06,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-04-07,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-04-08,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-04-09,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-04-12,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-04-13,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-04-14,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-04-15,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-04-16,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-04-19,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-04-20,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-04-21,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-04-22,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-04-23,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-04-26,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-04-27,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-04-28,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-04-29,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-04-30,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-05-03,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-05-04,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-05-05,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-05-06,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-05-07,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-05-10,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-05-11,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-05-12,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-05-13,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-05-14,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-05-17,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-05-18,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-05-19,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-05-20,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-05-21,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-05-24,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-05-25,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-05-26,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-05-27,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-05-28,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-06-01,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-06-02,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-06-03,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
2010-06-04,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,26.66522,29.18419,9.5232935,10.312475,0.40647998,0.18465,25.406,0.29,0.384,0.216,0.39992002,0.43019,1843911852032.0,1.203,796.25,479.8
