Date,SPY
2024-11-15,578.7142333984375
2024-11-18,581.08544921875
2024-11-19,583.2096557617188
2024-11-20,583.4072265625
2024-11-21,586.5391235351562
2024-11-22,588.3570556640625
2024-11-25,590.3528442382812
2024-11-26,593.4353637695312
2024-11-27,591.6370849609375
2024-11-29,595.3125
2024-12-02,596.3795166015625
2024-12-03,596.6561279296875
2024-12-04,600.361083984375
2024-12-05,599.3731079101562
2024-12-06,600.50927734375
2024-12-09,597.4168701171875
2024-12-10,595.5594482421875
2024-12-11,600.1635131835938
2024-12-12,597.071044921875
2024-12-13,596.9525756835938
2024-12-16,599.5015258789062
2024-12-17,597.031494140625
2024-12-18,579.2379150390625
2024-12-19,579.0599975585938
2024-12-20,586.01513671875
2024-12-23,589.5243530273438
2024-12-24,596.076904296875
2024-12-26,596.11669921875
2024-12-27,589.8416137695312
2024-12-30,583.110595703125
2024-12-31,580.9891967773438
2025-01-02,579.5616455078125
2025-01-03,586.8081665039062
2025-01-06,590.1885375976562
2025-01-07,583.5169677734375
2025-01-08,584.3694458007812
2025-01-10,575.4476928710938
2025-01-13,576.3399047851562
2025-01-14,577.1329345703125
2025-01-15,587.6309814453125
2025-01-16,586.5008544921875
2025-01-17,592.3892822265625
2025-01-21,597.8117065429688
2025-01-22,601.1723022460938
2025-01-23,604.45361328125
2025-01-24,602.6890258789062
2025-01-27,594.1637573242188
2025-01-28,599.26904296875
2025-01-29,596.58251953125
2025-01-30,599.7844848632812
2025-01-31,596.5924682617188
2025-02-03,592.57763671875
2025-02-04,596.5528564453125
2025-02-05,598.9715576171875
2025-02-06,601.0533447265625
2025-02-07,595.551513671875
2025-02-10,599.5961303710938
2025-02-11,600.0521850585938
2025-02-12,598.1190795898438
2025-02-13,604.4337768554688
2025-02-14,604.4039916992188
2025-02-18,606.178466796875
2025-02-19,607.60595703125
2025-02-20,605.0780639648438
2025-02-21,594.728759765625
2025-02-24,592.0225219726562
2025-02-25,589.0782470703125
2025-02-26,589.3756713867188
2025-02-27,579.968017578125
2025-02-28,589.018798828125
2025-03-03,578.69921875
2025-03-04,571.8492431640625
2025-03-05,577.9954223632812
2025-03-06,567.7352905273438
2025-03-07,570.9173583984375
2025-03-10,555.710693359375
2025-03-11,551.0911254882812
2025-03-12,554.0155029296875
2025-03-13,546.6302490234375
2025-03-14,557.9212646484375
2025-03-17,562.2235717773438
2025-03-18,556.1468505859375
2025-03-19,562.2037353515625
2025-03-20,560.5780029296875
2025-03-21,560.762939453125
2025-03-24,570.8053588867188
2025-03-25,572.177490234375
2025-03-26,565.3466796875
2025-03-27,563.8452758789062
2025-03-28,552.4904174804688
2025-03-31,556.1991577148438
2025-04-01,557.7700805664062
2025-04-02,561.2998657226562
2025-04-03,533.6386108398438
2025-04-04,502.3977966308594
2025-04-07,501.5029296875
2025-04-08,493.64801025390625
2025-04-09,545.4906005859375
2025-04-10,521.5877685546875
2025-04-11,530.8943481445312
2025-04-14,536.0447387695312
2025-04-15,534.5433349609375
2025-04-16,522.6615600585938
2025-04-17,523.4072265625
2025-04-21,510.94873046875
2025-04-22,524.2424926757812
2025-04-23,532.3658447265625
2025-04-24,543.5715942382812
2025-04-25,547.4990234375
2025-04-28,547.7078247070312
2025-04-29,551.1580200195312
2025-04-30,551.3768310546875
2025-05-01,555.2843627929688
2025-05-02,563.527099609375
2025-05-05,560.295654296875
2025-05-06,555.6124877929688
2025-05-07,557.9490966796875
2025-05-08,561.8367919921875
2025-05-09,561.1209716796875
2025-05-12,579.66455078125
2025-05-13,583.4925537109375
2025-05-14,584.23828125
2025-05-15,587.0919189453125
2025-05-16,590.8106079101562
2025-05-19,591.4568481445312
2025-05-20,589.46826171875
2025-05-21,579.5352783203125
2025-05-22,579.7639770507812
2025-05-23,575.806640625
2025-05-27,587.7780151367188
2025-05-28,584.37744140625
2025-05-29,586.6842651367188
2025-05-30,586.0280151367188
2025-06-02,589.3291015625
2025-06-03,592.6898193359375
2025-06-04,592.5307006835938
2025-06-05,589.6671142578125
2025-06-06,595.722412109375
2025-06-09,596.2593383789062
2025-06-10,599.6399536132812
2025-06-11,597.9297485351562
2025-06-12,600.3060913085938
2025-06-13,593.5946044921875
2025-06-16,599.2421875
2025-06-17,594.12158203125
2025-06-18,594.0321044921875
2025-06-20,592.636962890625
2025-06-23,598.49072265625
2025-06-24,605.1024169921875
2025-06-25,605.4414672851562
2025-06-26,610.1783447265625
2025-06-27,613.2098999023438
2025-06-30,616.1417846679688
2025-07-01,615.9423828125
2025-07-02,618.734619140625
2025-07-03,623.611083984375
2025-07-07,618.9639892578125
2025-07-08,618.6249389648438
2025-07-09,622.3345947265625
2025-07-10,624.0897827148438
2025-07-11,621.8958129882812
2025-07-14,623.08251953125
2025-07-15,620.419921875
2025-07-16,622.494140625
2025-07-17,626.3035888671875
2025-07-18,625.8449096679688
2025-07-21,627.0316162109375
2025-07-22,627.121337890625
2025-07-23,632.4566040039062
2025-07-24,632.6659545898438
2025-07-25,635.3385620117188
2025-07-28,635.1790161132812
2025-07-29,633.503662109375
2025-07-30,632.7058715820312
2025-07-31,630.3324584960938
2025-08-01,620.0010375976562
2025-08-04,629.4249267578125
2025-08-05,626.2337646484375
2025-08-06,631.030517578125
2025-08-07,630.501953125
2025-08-08,635.4183349609375
2025-08-11,634.1618041992188
2025-08-12,640.9131469726562
2025-08-13,643.1070556640625
2025-08-14,643.1668701171875
2025-08-15,641.6610717773438
2025-08-18,641.5214233398438
2025-08-19,638.0410766601562
2025-08-20,636.3457641601562
2025-08-21,633.7928466796875
2025-08-22,643.52587890625
2025-08-25,640.6936645507812
2025-08-26,643.3762817382812
2025-08-27,644.8422241210938
2025-08-28,647.1258544921875
2025-08-29,643.2666015625
2025-09-02,638.4998168945312
2025-09-03,641.960205078125
2025-09-04,647.3253173828125
2025-09-05,645.4505004882812
2025-09-08,647.0361328125
2025-09-09,648.531982421875
2025-09-10,650.4067993164062
2025-09-11,655.8118286132812
2025-09-12,655.5924072265625
2025-09-15,659.0827026367188
2025-09-16,658.1752319335938
2025-09-17,657.3575439453125
2025-09-18,660.4290161132812
2025-09-19,663.7000122070312
2025-09-22,666.8400268554688
2025-09-23,663.2100219726562
2025-09-24,661.0999755859375
2025-09-25,658.0499877929688
2025-09-26,661.8200073242188
2025-09-29,663.6799926757812
2025-09-30,666.1799926757812
2025-10-01,668.4500122070312
2025-10-02,669.219970703125
2025-10-03,669.2100219726562
2025-10-06,671.6099853515625
2025-10-07,669.1199951171875
2025-10-08,673.1099853515625
2025-10-09,671.1599731445312
2025-10-10,653.02001953125
2025-10-13,663.0399780273438
2025-10-14,662.22998046875
2025-10-15,665.1699829101562
2025-10-16,660.6400146484375
2025-10-17,664.3900146484375
2025-10-20,671.2999877929688
2025-10-21,671.2899780273438
2025-10-22,667.7999877929688
2025-10-23,671.760009765625
2025-10-24,677.25
